discount,tau,lr,buildings,simulation_id
0.9,0.0005,0.0005,"[1, 13, 14]",hyperparameter_design_0
0.9,0.0005,0.005,"[1, 13, 14]",hyperparameter_design_1
0.9,0.0005,0.05,"[1, 13, 14]",hyperparameter_design_2
0.9,0.005,0.0005,"[1, 13, 14]",hyperparameter_design_3
0.9,0.005,0.005,"[1, 13, 14]",hyperparameter_design_4
0.9,0.005,0.05,"[1, 13, 14]",hyperparameter_design_5
0.9,0.05,0.0005,"[1, 13, 14]",hyperparameter_design_6
0.9,0.05,0.005,"[1, 13, 14]",hyperparameter_design_7
0.9,0.05,0.05,"[1, 13, 14]",hyperparameter_design_8
0.95,0.0005,0.0005,"[1, 13, 14]",hyperparameter_design_9
0.95,0.0005,0.005,"[1, 13, 14]",hyperparameter_design_10
0.95,0.0005,0.05,"[1, 13, 14]",hyperparameter_design_11
0.95,0.005,0.0005,"[1, 13, 14]",hyperparameter_design_12
0.95,0.005,0.005,"[1, 13, 14]",hyperparameter_design_13
0.95,0.005,0.05,"[1, 13, 14]",hyperparameter_design_14
0.95,0.05,0.0005,"[1, 13, 14]",hyperparameter_design_15
0.95,0.05,0.005,"[1, 13, 14]",hyperparameter_design_16
0.95,0.05,0.05,"[1, 13, 14]",hyperparameter_design_17
0.99,0.0005,0.0005,"[1, 13, 14]",hyperparameter_design_18
0.99,0.0005,0.005,"[1, 13, 14]",hyperparameter_design_19
0.99,0.0005,0.05,"[1, 13, 14]",hyperparameter_design_20
0.99,0.005,0.0005,"[1, 13, 14]",hyperparameter_design_21
0.99,0.005,0.005,"[1, 13, 14]",hyperparameter_design_22
0.99,0.005,0.05,"[1, 13, 14]",hyperparameter_design_23
0.99,0.05,0.0005,"[1, 13, 14]",hyperparameter_design_24
0.99,0.05,0.005,"[1, 13, 14]",hyperparameter_design_25
0.99,0.05,0.05,"[1, 13, 14]",hyperparameter_design_26
